
2017.09.23 16.32.56 "[i1] rejectProposal(p2): Apple $3.48"
2017.09.23 16.32.56 "[i2] acceptProposal(p2): Banana $1.08"
2017.09.23 16.32.56 "[i1] rejectProposal(p2): Banana $2.11"
2017.09.23 16.32.56 "[i1] rejectProposal(p2): Apple $3.48"
2017.09.23 16.32.56 "[i2] acceptProposal(p1): Pineapple $2.61"
2017.09.23 16.32.56 "[i1] rejectProposal(p2): Pineapple $3.55"
2017.09.23 16.32.56 "[i2] acceptProposal(p1): Pineapple $2.61"
2017.09.23 16.32.56 "[i2] rejectProposal(p2): Apple $3.12"
2017.09.23 16.32.56 "[i2] rejectProposal(p1): Banana $2.15"
2017.09.23 16.32.56 "[i2] rejectProposal(p1): Banana $2.15"
2017.09.23 16.32.56 "[i2] rejectProposal(p2): Pineapple $4.17"
2017.09.23 16.32.56 "[i2] rejectProposal(p1): Banana $2.15"
2017.09.23 16.34.35 "[i2] Asked for: Banana"
2017.09.23 16.34.35 "[i1] Asked for: Banana"
2017.09.23 16.34.35 "[i2] Refuse(r): 'Banana'"
2017.09.23 16.34.35 "[i2] Asked for: Apple"
2017.09.23 16.34.35 "[i2] Received(p2): 'Banana' $2.67"
2017.09.23 16.34.35 "[i2] Received(p1): 'Banana' $2.84"
2017.09.23 16.34.35 "[i1] Refuse(r): 'Banana'"
2017.09.23 16.34.35 "[i1] Asked for: Apple"
2017.09.23 16.34.35 "[i1] Received(p1): 'Banana' $1.46"
2017.09.23 16.34.35 "[i1] Received(p2): 'Banana' $1.40"
2017.09.23 16.34.35 "[i2] Asked for: Guava"
2017.09.23 16.34.35 "[i2] Refuse(r): 'Apple'"
2017.09.23 16.34.35 "[i2] Received(p1): 'Apple' $3.05"
2017.09.23 16.34.35 "[i2] Refuse(r): 'Guava'"
2017.09.23 16.34.35 "[i2] Asked for: Pineapple"
2017.09.23 16.34.35 "[i2] Received(p2): 'Apple' $2.56"
2017.09.23 16.34.35 "[i1] Asked for: Guava"
2017.09.23 16.34.35 "[i2] Refuse(p1): 'Guava'"
2017.09.23 16.34.35 "[i1] Refuse(r): 'Apple'"
2017.09.23 16.34.35 "[i1] Received(p1): 'Apple' $2.98"
2017.09.23 16.34.35 "[i1] Asked for: Pineapple"
2017.09.23 16.34.35 "[i1] Refuse(r): 'Guava'"
2017.09.23 16.34.35 "[i1] Received(p2): 'Apple' $3.71"
2017.09.23 16.34.35 "[i2] Refuse(p2): 'Guava'"
2017.09.23 16.34.35 "[i2] Received(p2): 'Pineapple' $3.52"
2017.09.23 16.34.35 "[i1] Refuse(p1): 'Guava'"
2017.09.23 16.34.35 "[i2] Received(p1): 'Pineapple' $3.73"
2017.09.23 16.34.35 "[i2] Refuse(r): 'Pineapple'"
2017.09.23 16.34.35 "[i1] Refuse(p2): 'Guava'"
2017.09.23 16.34.35 "[i1] Refuse(r): 'Pineapple'"
2017.09.23 16.34.35 "[i2] acceptProposal(p2): Banana $2.67"
2017.09.23 16.34.35 "[i1] Received(p1): 'Pineapple' $3.70"
2017.09.23 16.34.35 "[i1] Received(p2): 'Pineapple' $2.60"
2017.09.23 16.34.35 "[i1] acceptProposal(p2): Banana $1.40"
2017.09.23 16.34.35 "[i1] acceptProposal(p2): Banana $1.40"
2017.09.23 16.34.35 "[i1] acceptProposal(p2): Banana $1.40"
2017.09.23 16.34.35 "[i2] acceptProposal(p2): Banana $2.67"
2017.09.23 16.34.35 "[i1] acceptProposal(p1): Apple $2.98"
2017.09.23 16.34.35 "[i2] acceptProposal(p2): Banana $2.67"
2017.09.23 16.34.35 "[i2] acceptProposal(p2): Apple $2.56"
2017.09.23 16.34.35 "[i2] acceptProposal(p2): Apple $2.56"
2017.09.23 16.34.35 "[i1] rejectProposal(p2): Apple $3.71"
2017.09.23 16.34.35 "[i1] acceptProposal(p2): Banana $1.40"
2017.09.23 16.34.35 "[i2] rejectProposal(p1): Apple $3.05"
2017.09.23 16.34.35 "[i2] rejectProposal(p1): Banana $2.84"
2017.09.23 16.34.35 "[i1] rejectProposal(p2): Apple $3.71"
2017.09.23 16.34.35 "[i2] acceptProposal(p2): Pineapple $3.52"
2017.09.23 16.34.35 "[i2] rejectProposal(p1): Pineapple $3.73"
2017.09.23 16.34.35 "[i1] rejectProposal(p1): Banana $1.46"
2017.09.23 16.34.35 "[i2] acceptProposal(p2): Banana $2.67"
2017.09.23 16.34.35 "[i2] rejectProposal(p1): Pineapple $3.73"
2017.09.23 16.34.35 "[i2] rejectProposal(p1): Banana $2.84"
2017.09.23 16.34.35 "[i2] rejectProposal(p1): Apple $3.05"
2017.09.23 16.34.35 "[i1] acceptProposal(p2): Pineapple $2.60"
2017.09.23 16.34.35 "[i2] rejectProposal(p1): Apple $3.05"
2017.09.23 16.34.35 "[i1] rejectProposal(p1): Pineapple $3.70"
2017.09.23 16.34.35 "[i1] rejectProposal(p1): Pineapple $3.70"
2017.09.23 16.34.35 "[i1] rejectProposal(p1): Banana $1.46"
2017.09.23 16.34.35 "[i1] rejectProposal(p2): Apple $3.71"
2017.09.23 16.34.35 "[i1] rejectProposal(p2): Apple $3.71"
2017.09.23 16.39.02 "[i2] Asked for: Banana"
2017.09.23 16.39.02 "[i1] Asked for: Banana"
2017.09.23 16.39.02 "[i2] Refuse(r): 'Banana'"
2017.09.23 16.39.02 "[i2] Asked for: Apple"
2017.09.23 16.39.02 "[i2] Received(p2): 'Banana' $1.34"
2017.09.23 16.39.02 "[i1] Refuse(r): 'Banana'"
2017.09.23 16.39.02 "[i1] Asked for: Apple"
2017.09.23 16.39.02 "[i1] Received(p2): 'Banana' $2.06"
2017.09.23 16.39.02 "[i2] acceptProposal(p2): Banana $1.34"
2017.09.23 16.39.02 "[i2] Received(p1): 'Banana' $2.34"
2017.09.23 16.39.02 "[i1] acceptProposal(p1): Banana $1.14"
2017.09.23 16.39.02 "[i1] Asked for: Guava"
2017.09.23 16.39.02 "[i2] rejectProposal(p1): Banana $2.34"
2017.09.23 16.39.02 "[i2] Asked for: Guava"
2017.09.23 16.39.02 "[i2] Asked for: Pineapple"
2017.09.23 16.39.02 "[i2] Refuse(r): 'Apple'"
2017.09.23 16.39.02 "[i2] Received(p2): 'Apple' $2.18"
2017.09.23 16.39.02 "[i1] rejectProposal(p2): Banana $2.06"
2017.09.23 16.39.02 "[i1] Asked for: Pineapple"
2017.09.23 16.39.02 "[i1] Received(p1): 'Banana' $1.14"
2017.09.23 16.39.02 "[i1] Refuse(r): 'Apple'"
2017.09.23 16.39.02 "[i1] Received(p2): 'Apple' $3.09"
2017.09.23 16.39.02 "[i1] Received(p1): 'Apple' $3.99"
2017.09.23 16.39.02 "[i2] Received(p1): 'Apple' $2.10"
2017.09.23 16.39.02 "[i2] Refuse(r): 'Guava'"
2017.09.23 16.39.02 "[i2] Refuse(p2): 'Guava'"
2017.09.23 16.39.02 "[i2] Refuse(p1): 'Guava'"
2017.09.23 16.39.02 "[i2] Refuse(r): 'Pineapple'"
2017.09.23 16.39.02 "[i1] Refuse(r): 'Guava'"
2017.09.23 16.39.02 "[i1] Refuse(p1): 'Guava'"
2017.09.23 16.39.02 "[i1] Refuse(p2): 'Guava'"
2017.09.23 16.39.03 "[i1] Refuse(r): 'Pineapple'"
2017.09.23 16.39.03 "[i1] Received(p2): 'Pineapple' $3.67"
2017.09.23 16.39.03 "[i1] acceptProposal(p2): Apple $3.09"
2017.09.23 16.39.03 "[i2] acceptProposal(p1): Apple $2.10"
2017.09.23 16.39.03 "[i1] rejectProposal(p1): Apple $3.99"
2017.09.23 16.39.03 "[i1] Received(p1): 'Pineapple' $4.11"
2017.09.23 16.39.03 "[i2] rejectProposal(p2): Apple $2.18"
2017.09.23 16.39.03 "[i2] Received(p2): 'Pineapple' $2.67"
2017.09.23 16.39.03 "[i2] Received(p1): 'Pineapple' $3.79"
2017.09.23 16.39.03 "[i2] acceptProposal(p2): Pineapple $2.67"
2017.09.23 16.39.03 "[i1] acceptProposal(p2): Pineapple $3.67"
2017.09.23 16.39.03 "[i2] rejectProposal(p1): Pineapple $3.79"
2017.09.23 16.39.03 "[i1] rejectProposal(p1): Pineapple $4.11"
2017.09.23 16.41.11 "[i2] Asked for: Banana"
2017.09.23 16.41.11 "[i1] Asked for: Banana"
2017.09.23 16.41.11 "[i1] Refuse(r): 'Banana'"
2017.09.23 16.41.11 "[i1] Asked for: Apple"
2017.09.23 16.41.11 "[i1] Received(p1): 'Banana' $2.00"
2017.09.23 16.41.11 "[i2] Refuse(r): 'Banana'"
2017.09.23 16.41.11 "[i2] Asked for: Apple"
2017.09.23 16.41.11 "[i1] Refuse(r): 'Apple'"
2017.09.23 16.41.11 "[i1] Asked for: Guava"
2017.09.23 16.41.11 "[i2] Received(p1): 'Banana' $1.75"
2017.09.23 16.41.11 "[i1] acceptProposal(p2): Banana $1.80"
2017.09.23 16.41.11 "[i1] Received(p2): 'Banana' $1.80"
2017.09.23 16.41.11 "[i1] rejectProposal(p1): Banana $2.00"
2017.09.23 16.41.11 "[i1] Asked for: Pineapple"
2017.09.23 16.41.11 "[i1] Refuse(r): 'Guava'"
2017.09.23 16.41.11 "[i1] Refuse(p2): 'Guava'"
2017.09.23 16.41.11 "[i2] acceptProposal(p1): Banana $1.75"
2017.09.23 16.41.11 "[i2] Asked for: Guava"
2017.09.23 16.41.11 "[i2] rejectProposal(p2): Banana $2.02"
2017.09.23 16.41.11 "[i2] Asked for: Pineapple"
2017.09.23 16.41.11 "[i2] Received(p2): 'Banana' $2.02"
2017.09.23 16.41.11 "[i1] acceptProposal(p1): Apple $2.10"
2017.09.23 16.41.11 "[i1] rejectProposal(p2): Apple $3.18"
2017.09.23 16.41.11 "[i1] Received(p2): 'Apple' $3.18"
2017.09.23 16.41.11 "[i1] Refuse(r): 'Pineapple'"
2017.09.23 16.41.11 "[i1] Received(p2): 'Pineapple' $3.49"
2017.09.23 16.41.11 "[i1] Refuse(p1): 'Guava'"
